year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,嘉義縣,東石鄉,嘉義縣|東石鄉,民進黨,DPP,賴清德,0.495800,6529,13169,0.649000
2024,嘉義縣,東石鄉,嘉義縣|東石鄉,國民黨,KMT,侯友宜,0.326100,4294,13169,0.649000
2024,嘉義縣,東石鄉,嘉義縣|東石鄉,民眾黨,TPP,柯文哲,0.178100,2345,13169,0.649000
2024,嘉義縣,朴子市,嘉義縣|朴子市,民進黨,DPP,賴清德,0.470200,11319,24073,0.714900
2024,嘉義縣,朴子市,嘉義縣|朴子市,國民黨,KMT,侯友宜,0.313800,7554,24073,0.714900
2024,嘉義縣,朴子市,嘉義縣|朴子市,民眾黨,TPP,柯文哲,0.216000,5200,24073,0.714900
2024,嘉義縣,太保市,嘉義縣|太保市,民進黨,DPP,賴清德,0.459700,10505,22852,0.716600
2024,嘉義縣,太保市,嘉義縣|太保市,國民黨,KMT,侯友宜,0.268300,6131,22852,0.716600
2024,嘉義縣,太保市,嘉義縣|太保市,民眾黨,TPP,柯文哲,0.272000,6216,22852,0.716600
2024,嘉義縣,布袋鎮,嘉義縣|布袋鎮,民進黨,DPP,賴清德,0.492100,7142,14514,0.663700
2024,嘉義縣,布袋鎮,嘉義縣|布袋鎮,國民黨,KMT,侯友宜,0.308400,4476,14514,0.663700
2024,嘉義縣,布袋鎮,嘉義縣|布袋鎮,民眾黨,TPP,柯文哲,0.199500,2896,14514,0.663700
2024,嘉義縣,義竹鄉,嘉義縣|義竹鄉,民進黨,DPP,賴清德,0.525000,5357,10204,0.679500
2024,嘉義縣,義竹鄉,嘉義縣|義竹鄉,國民黨,KMT,侯友宜,0.296400,3024,10204,0.679500
2024,嘉義縣,義竹鄉,嘉義縣|義竹鄉,民眾黨,TPP,柯文哲,0.178700,1823,10204,0.679500
2024,嘉義縣,鹿草鄉,嘉義縣|鹿草鄉,民進黨,DPP,賴清德,0.533400,4626,8672,0.683800
2024,嘉義縣,鹿草鄉,嘉義縣|鹿草鄉,國民黨,KMT,侯友宜,0.266700,2313,8672,0.683800
2024,嘉義縣,鹿草鄉,嘉義縣|鹿草鄉,民眾黨,TPP,柯文哲,0.199800,1733,8672,0.683800
2024,嘉義縣,水上鄉,嘉義縣|水上鄉,民進黨,DPP,賴清德,0.466200,13918,29855,0.709300
2024,嘉義縣,水上鄉,嘉義縣|水上鄉,國民黨,KMT,侯友宜,0.289500,8643,29855,0.709300
2024,嘉義縣,水上鄉,嘉義縣|水上鄉,民眾黨,TPP,柯文哲,0.244400,7297,29855,0.709300
2024,嘉義縣,溪口鄉,嘉義縣|溪口鄉,民進黨,DPP,賴清德,0.543100,4437,8170,0.693000
2024,嘉義縣,溪口鄉,嘉義縣|溪口鄉,國民黨,KMT,侯友宜,0.243200,1987,8170,0.693000
2024,嘉義縣,溪口鄉,嘉義縣|溪口鄉,民眾黨,TPP,柯文哲,0.213700,1746,8170,0.693000
2024,嘉義縣,大林鎮,嘉義縣|大林鎮,民進黨,DPP,賴清德,0.462700,8469,18304,0.711100
2024,嘉義縣,大林鎮,嘉義縣|大林鎮,國民黨,KMT,侯友宜,0.301100,5511,18304,0.711100
2024,嘉義縣,大林鎮,嘉義縣|大林鎮,民眾黨,TPP,柯文哲,0.236200,4323,18304,0.711100
2024,嘉義縣,梅山鄉,嘉義縣|梅山鄉,民進黨,DPP,賴清德,0.454200,4974,10952,0.697700
2024,嘉義縣,梅山鄉,嘉義縣|梅山鄉,國民黨,KMT,侯友宜,0.328400,3597,10952,0.697700
2024,嘉義縣,梅山鄉,嘉義縣|梅山鄉,民眾黨,TPP,柯文哲,0.217400,2381,10952,0.697700
2024,嘉義縣,新港鄉,嘉義縣|新港鄉,民進黨,DPP,賴清德,0.543500,10018,18432,0.710800
2024,嘉義縣,新港鄉,嘉義縣|新港鄉,國民黨,KMT,侯友宜,0.230800,4254,18432,0.710800
2024,嘉義縣,新港鄉,嘉義縣|新港鄉,民眾黨,TPP,柯文哲,0.225700,4160,18432,0.710800
2024,嘉義縣,民雄鄉,嘉義縣|民雄鄉,民進黨,DPP,賴清德,0.458100,19714,43034,0.719000
2024,嘉義縣,民雄鄉,嘉義縣|民雄鄉,國民黨,KMT,侯友宜,0.277200,11929,43034,0.719000
2024,嘉義縣,民雄鄉,嘉義縣|民雄鄉,民眾黨,TPP,柯文哲,0.264800,11395,43034,0.719000
2024,嘉義縣,竹崎鄉,嘉義縣|竹崎鄉,民進黨,DPP,賴清德,0.468400,9471,20219,0.693400
2024,嘉義縣,竹崎鄉,嘉義縣|竹崎鄉,國民黨,KMT,侯友宜,0.304600,6159,20219,0.693400
2024,嘉義縣,竹崎鄉,嘉義縣|竹崎鄉,民眾黨,TPP,柯文哲,0.227000,4590,20219,0.693400
